Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
Device,true,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging,true,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge.1,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge.1.Alias,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"cpe-bridge",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge.1.Port.1,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge.1.Port.1.Alias,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"cpe-bridgeport",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.1.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.1.LastChange,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"0",xsd:unsignedInt,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.1.LowerLayers,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"Device.Bridging.Bridge.1.Port.2.,Device.Bridging.Bridge.1.Port.3.,Device.Bridging.Bridge.1.Port.4.,Device.Bridging.Bridge.1.Port.5.,Device.Bridging.Bridge.1.Port.6.,Device.Bridging.Bridge.1.Port.7.,Device.Bridging.Bridge.1.Port.8.,Device.Bridging.Bridge.1.Port.9.,Device.Bridging.Bridge.1.Port.10.,Device.Bridging.Bridge.1.Port.11.",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.1.ManagementPort,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.1.Name,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"br0",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.1.Status,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"Up",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.10,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
